title,abstract,doi
Magnetic And Gravity Anomaly Patterns Related To Hydrocarbon Fields In Northern West Siberia,"A study of the features of gravity and magnetic fields in the vicinity of oil and gas reservoirs in West Siberia demonstrated a spatial relationship with the hydrocarbon deposits. The relevant magnetic and gravity anomalies cover approximately 900000km2 in northern West Siberia. Amplitude and frequency were investigated initially using double Fourier spectrum (DFS) analysis. This was followed by (1) application of transformations, filtering, and ""moving windows"" analysis; (2) compilation of maps of regional and local anomalies, and potential field derivatives; and (3) investigation of the distribution of parameters in areas of known deposits. Hydrocarbon deposits are located mostly at the slopes of positive regional gravity and magnetic anomalies which are interpreted as relating to deep riftogenic structures. At the same time, it is established that the location of hydrocarbon depositions coincides commonly with local gravity and magnetic minima generated by lows in basement density and magnetization. All known hydrocarbon deposits in northern West Siberia are in areas characterized by comparatively high gradients of constituent of gravity anomalies with a wavelength of about 90–100 km. These newly revealed links between reservoirs and potential field parameters may be a means to predict new discoveries in poorly explored territories and seas, primarily in Russia's Arctic shelf.",10.1190/1.1444192
Inversion For Permeability Distribution From Time-Lapse Gravity Data,"Understanding reservoir properties plays a key role in managing a reservoir's resources and optimizing production. History matching is an important means for characterizing those properties. We developed a method to invert for the distribution of permeability directly from time-lapse gravity data. In this process, we used fluid flow in a porous medium coupled with forward modeling of the time-lapse gravity response as the forward operator, and then we solved a nonlinear inversion to reconstruct the permeability distribution in the reservoir. We were able to formulate the deterministic inversion as a Tikhonov regularization problem because of the relatively low computational cost of forward modeling time-lapse gravity data. The inversion can combine the information from time-lapse gravity and injection-production data sets to determine a static state of the reservoir described by the permeability. The resulting model satisfied all data sets simultaneously while obeying the mechanics of fluid flow through a porous medium. The inverse formulation also enabled the estimation of the uncertainty of the constructed permeability model with respect to the data, and our numerical simulations indicated that the information content in the two dynamic data sets appeared to be sufficiently high to constrain the recovery of permeability distribution.",10.1190/geo2014-0203.1
Quantifying Background Magnetic-Field Inhomogeneity For Improved Interpretation Of Free Induction Decay Measurements,"Nuclear magnetic resonance measurements provide useful insight into pore-scale properties of porous media. One influence affecting the measurement is inhomogeneity in the static background magnetic field (B0). This inhomogeneity can significantly alter the relaxation signal and potentially obscure pore-scale information. To improve the understanding of this effect on the free-induction decay (FID), a measurement still commonly used in practice, a novel methodology is developed to estimate the statistical distribution of B0. A suite of preparatory pulse sequences is developed to encode information about the B0 field in the initial amplitude and phase of the FID following each sequence and an inversion is employed to predict the statistical distribution of B0. Knowledge of the B0 distribution is then used to correct for the impact of B0 inhomogeneity on the FID measurement; this is essential for improving the usefulness of FID measurements for the estimation of pore-scale properties. Results are presented for both numerical and laboratory studies verifying the feasibility of the developed methodology in a controlled laboratory environment, and demonstrating that knowledge of the statistical distribution of B0 is sufficient to estimate the impact of B0 inhomogeneity on the FID in cases where B0 inhomogeneity causes less than an order of magnitude decrease in the relaxation times governing the FID.",10.1190/geo2012-0488.1
Families Of Salt Domes In The Gulf Coastal Province,"If two fluids of different densities are superposed one over the other, the plane interface between the two fluids becomes unstable if the heavy fluid overlays the lighter one. This type of hydrodynamic instability is called Rayleigh‐Taylor instability. The theory of Rayleigh‐Taylor instability is a useful tool to study the distribution of salt domes in the coastal region of the Gulf Coastal Province. In spite of a drastic simplification of the geologic situation, the model shows: a) that the spacing of salt domes about an initial disturtbance depends upon the thickness of the mother salt and viscosity ratio of overlying sediment to salt; b) that domes not only grow upward from the initial disturbance, but domes are also triggered in the vicinity of the primary disturbance, forming a family of incipient domes with a regular pattern; c) that the family of incipient domes develops out of the initial disturbance starting at the location of maximal instability and spreading radially. Several numerical examples provide a framework for examining the disturbance of Gulf Coastal salt domes.",10.1190/1.1439806
Attribute-Guided Well-Log Interpolation Applied To Low-Frequency Impedance Estimation,"Several approaches exist to use trends in 3D seismic data, in the form of seismic attributes, to interpolate sparsely sampled well-log measurements between well locations. Kriging and neural networks are two such approaches. We have applied a method that finds a relation between seismic attributes (such as two-way times, interval velocities, reflector roughness) and rock properties (in this case, acoustic impedance) from information at well locations. The relation is designed for optimum prediction of acoustic impedances away from well sites, and this is accomplished through a combination of cross validation and the Tikhonov-regularized least-squares method. The method is fast, works well even for highly underdetermined problems, and has general applicability. We apply it to two case studies in which we estimate 3D cubes of low-frequency impedance, which is essential for producing good porosity models. We show that the method is superior to traditional least squares: Numerous blind tests show that estimated low-frequency impedance away from well locations can be determined with an accuracy very close to estimations obtained at well locations.",10.1190/1.2996302
The Csm Test Area For Electrical Surveying Methods,"Testing of geophysical equipment and methods over a region of known geology has long been considered desirable if not actually necessary. It is the purpose of this note to bring to the attention of the geophysical community the development of a test area for the evaluation of electrical prospecting methods. The test area is a strip, 19 km broad and 280 km long, made up of the tiers of townships 1N and 2N stretching between R42W and R70W in eastern Colorado (Figure 1). Access to the strip is easy as the area is relatively level and county roads border most sections; population is sparse.",10.1190/1.1439962
"Integrated Vti Model Building With Seismic Data, Geologic Information, And Rock-Physics Modeling — Part 1: Theory And Synthetic Test","Seismic anisotropy plays an important role in structural imaging and lithologic interpretation. However, anisotropic model building is a challenging underdetermined inverse problem. It is well-understood that single component pressure wave seismic data recorded on the upper surface are insufficient to resolve a unique solution for velocity and anisotropy parameters. To overcome the limitations of seismic data, we have developed an integrated model building scheme based on Bayesian inference to consider seismic data, geologic information, and rock-physics knowledge simultaneously. We have performed the prestack seismic inversion using wave-equation migration velocity analysis (WEMVA) for vertical transverse isotropic (VTI) models. This image-space method enabled automatic geologic interpretation. We have integrated the geologic information as spatial model correlations, applied on each parameter individually. We integrate the rock-physics information as lithologic model correlations, bringing additional information, so that the parameters weakly constrained by seismic are updated as well as the strongly constrained parameters. The constraints provided by the additional information help the inversion converge faster, mitigate the ambiguities among the parameters, and yield VTI models that were consistent with the underlying geologic and lithologic assumptions. We have developed the theoretical framework for the proposed integrated WEMVA for VTI models and determined the added information contained in the regularization terms, especially the rock-physics constraints.",10.1190/geo2015-0592.1
Velocity Analysis Using Weighted Semblance,"Increasing the resolution of semblance-based velocity spectra, or semblance spectra, is useful for estimating normal moveout velocities, as increased resolution can help to distinguish peaks in the spectra. The resolution of semblance spectra depends on the sensitivity of semblance to changes in velocity. By weighting terms in the semblance calculation that are more sensitive to changes in velocity, we can increase resolution. Our implementation of weighted semblance is a straightforward extension of conventional semblance. Somewhat surprisingly, we increase resolution by choosing an offset-dependent weighting function that minimizes semblance. We test our method on synthetic and field data, and our tests confirm that weighted semblance provides higher resolution than conventional semblance.",10.1190/geo2011-0034.1
Seismic Velocities From Surface Measurements,"The purpose of this paper is to discuss field and interpretive techniques which permit, in favorable cases, the quite accurate determination of seismic interval velocities prior to drilling. A simple but accurate formula is developed for the quick calculation of interval velocities from ""average velocities"" determined by the known x2-T2 technique. To secure accuracy a careful study of multiple reflections is necessary and this is discussed. Although the principal objective in determining velocities is to allow an accurate structural interpretation to be made from seismic reflection data, an important secondary objective is to get some lithological information. This is obtained through a correlation of velocities with rock type and depth.",10.1190/1.1438126
Identification Of Thermal Conductivities By Temperature Gradient Profiles: One‐Dimensional Steady Flow,"The comparison model method (CMM) is applied to the identification of spatially varying thermal conductivity in a one‐dimensional domain. This method deals with the discretized steady‐state heat equation written at the nodes of a lattice, a lattice which models a stack of plane parallel layers. The required data are temperature gradient and heat source (or sink) values. The unknowns of this inverse problem are not nodal values but internode thermal conductivities, which appear in the node heat balance equation. The conductivities, e.g., the solutions to the inverse problem obtained by the CMM, are a one‐parameter family. In order to achieve uniqueness (which coincides with identifiability in this case), a suitable value of this parameter must be found. To this end we consider (1) parameterization, i.e., introducing equality constraints between the unknown coefficients, (2) the use of two data sets at least in a subdomain, and (3) self‐identifiability. Each of these items formally translates the available a priori information about the system, e.g., geophysical properties of the layers. Under the assumption that an admissible solution exists, we evaluate the effects on the solution of two types of data noise: additive noise affecting temperature and a kind of multiplicative noise affecting heat‐source terms. In the numerical examples we provide, parameterization is combined with the CMM in order to obtain the unique solution to a test inverse problem, the geophysical data of which come from a well drilled across Tertiary layers in central Italy. Finally, we consider data perturbed by pseudorandom noise. More precisely, we add noise to temperature gradients and obtain stability estimates which correctly predict the numerical results. In particular, if the layers where the parameterization constraint applies contain a strong source term (e.g., due to flowing water), the solution is relatively insensitive to noise. Also, for multiplicative noise affecting heat‐source terms, theoretical stability predictions are confirmed numerically. The main advantage of the CMM is its simple algebraic formulation. Its implementation in the field by means of a pocket calculator allows both a consistency check on the data being collected and estimates of the unknown values of conductivity.",10.1190/1.1442691
